"order_id","order_date","status","fulfilment","sales_channel","ship_service_level","style","sku","category","size","asin","courier_status","quantity","currency","amount","ship_city","ship_state","ship_postal_code","ship_country","b2b"
"408-5980703-7358759","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","J0341","J0341-DR-L","Western Dress","L","B099NRCT7B","Shipped",1,"INR",744,"BENGALURU","KARNATAKA","560035.0","IN",FALSE
"406-9706625-3621955","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","JNE2100","JNE2100-KR-144-S","kurta","S","B078Q2PWX9","Shipped",1,"INR",357,"NEW DELHI","DELHI","110018.0","IN",FALSE
"402-6478654-4653914","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","JNE3688","JNE3688-TU-XS","Top","XS","B099S8ZV85","Shipped",1,"INR",599,"JALGAON","MAHARASHTRA","425002.0","IN",FALSE
"404-0474038-2425156","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","SET228","SET228-KR-PP-A-XS","Set","XS","B09HMWQ1JL","Shipped",1,"INR",653,"PITHORAGARH","UTTARAKHAND","262501.0","IN",FALSE
"404-2985981-8889146","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","JNE3715","JNE3715-KR-XXL","kurta","XXL","B09G2W57QG","Shipped",1,"INR",283,"Coimbatore","TAMIL NADU","642114.0","IN",FALSE
"404-1604636-8246751","2022-04-26","Shipped - Returned to Seller","Merchant","Amazon.in","Standard","JNE3730","JNE3730-KR-XXL","kurta","XXL","B09HM2DMSZ","Shipped",1,"INR",299,"Coimbatore","TAMIL NADU","642114.0","IN",FALSE
"405-7489491-3901925","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","JNE3440","JNE3440-KR-N-XL","kurta","XL","B081WPK66G","Shipped",1,"INR",399,"NEW DELHI","DELHI","110024.0","IN",FALSE
"402-4207826-1267557","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","JNE3620","JNE3620-KR-XS","kurta","XS","B091Q86HCQ","Shipped",1,"INR",329,"MAHMUDABAD","UTTAR PRADESH","261203.0","IN",FALSE
"171-6659822-7684358","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","SET264","SET264-KR-NP-M","Set","M","B08YN44FZJ","Shipped",1,"INR",824,"PIMPRI CHINCHWAD","MAHARASHTRA","411027.0","IN",FALSE
"407-4245092-1010748","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","SET268","SET268-KR-NP-S","Set","S","B08XQ98B2Q","Shipped",1,"INR",788,"BURDWAN","WEST BENGAL","713102.0","IN",FALSE
"408-3745790-8041123","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","SET278","SET278-KR-NP-L","Set","L","B0983FZD5K","Shipped",1,"INR",1432,"BHOTA","HIMACHAL PRADESH","176041.0","IN",FALSE
"408-5075679-3516365","2022-04-26","Cancelled","Amazon","Amazon.in","Expedited","J0349","J0349-SET-XS","Set","XS","B099NM2DMY","Unshipped",1,"INR",801,"KALPETTA","KERALA","673122.0","IN",FALSE
"408-3636855-4918758","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","SET197","SET197-KR-NP-L","Set","L","B08B3YPD63","Shipped",1,"INR",759,"MUMBAI","MAHARASHTRA","400080.0","IN",FALSE
"408-4986241-2125143","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","JNE3399","JNE3399-KR-S","kurta","S","B082W87NQF","Shipped",1,"INR",435,"Eramalloor","KERALA","688537.0","IN",FALSE
"408-5816787-1285153","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","JNE3405","JNE3405-KR-M","kurta","M","B081WVMMCY","Shipped",1,"INR",399,"RAIRANGPUR","ODISHA","757043.0","IN",FALSE
"408-7852617-6277156","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","SET291","SET291-KR-PP-XXXL","Set","3XL","B099NFZJVC","Shipped",1,"INR",563,"GURUGRAM","HARYANA","122001.0","IN",FALSE
"408-1820281-8921134","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","JNE3735","JNE3735-KR-XXXL","kurta","3XL","B09LV1Q3DT","Shipped",1,"INR",399,"CUNCOLIM","GOA","403703.0","IN",FALSE
